;País;Região;População;Área (Km);Densidade Populacional;Área Costeira (costa/Área);Taxa de Migração;Taxa de Mortalidade Infantil (por 1000 nascimentos);Renda Per capita ($);Taxa de Alfabetização (%);Telefones (por 1000);Taxa de Natalidade;Taxa de Óbito
201;Thailand ;ASIA (EX. NEAR EAST)         ;64631595;514000;125.7;0.63;0.0;20.48;7400.0;92.6;108.9;13.87;7.04
202;Togo ;SUB-SAHARAN AFRICA                 ;5548702;56785;97.7;0.1;0.0;66.61;1500.0;60.9;10.6;37.01;9.83
203;Tonga ;OCEANIA                            ;114689;748;153.3;56.02;0.0;12.62;2200.0;98.5;97.7;25.37;5.28
204;Trinidad & Tobago ;LATIN AMER. & CARIB    ;1065842;5128;207.9;7.06;-10.83;24.31;9500.0;98.6;303.5;12.9;10.57
205;Tunisia ;NORTHERN AFRICA                    ;10175014;163610;62.2;0.7;-0.57;24.77;6900.0;74.2;123.6;15.52;5.13
206;Turkey ;NEAR EAST                          ;70413958;780580;90.2;0.92;0.0;41.04;6700.0;86.5;269.5;16.62;5.97
207;Turkmenistan ;C.W. OF IND. STATES ;5042920;488100;10.3;0.0;-0.86;73.08;5800.0;98.0;74.6;27.61;8.6
208;Turks & Caicos Is ;LATIN AMER. & CARIB    ;21152;430;49.2;90.47;11.68;15.67;9600.0;98.0;269.5;21.84;4.21
209;Tuvalu ;OCEANIA                            ;11810;26;454.2;92.31;0.0;20.03;1100.0;;59.3;22.18;7.11
210;Uganda ;SUB-SAHARAN AFRICA                 ;28195754;236040;119.5;0.0;0.0;67.83;1400.0;69.9;3.6;47.35;12.24
211;Ukraine ;C.W. OF IND. STATES ;46710816;603700;77.4;0.46;-0.39;20.34;5400.0;99.7;259.9;8.82;14.39
212;United Arab Emirates ;NEAR EAST                          ;2602713;82880;31.4;1.59;1.03;14.51;23200.0;77.9;475.3;18.96;4.4
213;United Kingdom ;WESTERN EUROPE                     ;60609153;244820;247.6;5.08;2.19;5.16;27700.0;99.0;543.5;10.71;10.13
214;United States ;NORTHERN AMERICA                   ;298444215;9631420;31.0;0.21;3.41;6.5;37800.0;97.0;898.0;14.14;8.26
215;Uruguay ;LATIN AMER. & CARIB    ;3431932;176220;19.5;0.37;-0.32;11.95;12800.0;98.0;291.4;13.91;9.05
216;Uzbekistan ;C.W. OF IND. STATES ;27307134;447400;61.0;0.0;-1.72;71.1;1700.0;99.3;62.9;26.36;7.84
217;Vanuatu ;OCEANIA                            ;208869;12200;17.1;20.72;0.0;55.16;2900.0;53.0;32.6;22.72;7.82
218;Venezuela ;LATIN AMER. & CARIB    ;25730435;912050;28.2;0.31;-0.04;22.2;4800.0;93.4;140.1;18.71;4.92
219;Vietnam ;ASIA (EX. NEAR EAST)         ;84402966;329560;256.1;1.05;-0.45;25.95;2500.0;90.3;187.7;16.86;6.22
220;Virgin Islands ;LATIN AMER. & CARIB    ;108605;1910;56.9;9.84;-8.94;8.03;17200.0;;652.8;13.96;6.43
221;Wallis and Futuna ;OCEANIA                            ;16025;274;58.5;47.08;;;3700.0;50.0;118.6;;
222;West Bank ;NEAR EAST                          ;2460492;5860;419.9;0.0;2.98;19.62;800.0;;145.2;31.67;3.92
223;Western Sahara ;NORTHERN AFRICA                    ;273008;266000;1.0;0.42;;;;;;;
224;Yemen ;NEAR EAST                          ;21456188;527970;40.6;0.36;0.0;61.5;800.0;50.2;37.2;42.89;8.3
225;Zambia ;SUB-SAHARAN AFRICA                 ;11502010;752614;15.3;0.0;0.0;88.29;800.0;80.6;8.2;41.0;19.93
226;Zimbabwe ;SUB-SAHARAN AFRICA                 ;12236805;390580;31.3;0.0;0.0;67.69;1900.0;90.7;26.8;28.01;21.84
